name,cuisine,category,location,price,lat,lng,rating
Aunt Jake's,Italian,Lunch/Dinner|Brunch,Upper East Side,2,40.7745912,-73.9553677,
Magnolia Bakery,Bakery,Desserts,Greenwich Village|Midtown|Midtown East,2,40.7358805,-74.0049673,
Laut,Thai|Southeast Asian,Lunch/Dinner,Chelsea,2,40.7376158,-73.9910302,
Thursday Kitchen,Korean,Drinks|Lunch/Dinner|Date Night,East Village,2,40.727566,-73.983805,
Olio e Piu,Italian,Lunch/Dinner,Greenwich Village,2,40.7337945,-73.9997927,
uluh,Chinese,Lunch/Dinner,East Village,2,40.7293472,-73.9866141,
Balthazar,French,Lunch/Dinner,Soho,3,40.722668,-73.9982298,
Tacombi,Mexican,Lunch/Dinner|Drinks|Date Night,Nolita|Greenwich Village|Nomad|FiDi,2,40.724,-73.9938,
Shoo Shoo Nolita,Mediterranean,Brunch,Nolita,2,40.7200534,-73.9962769,
AweSum Dim Sum,Dim Sum|Chinese,Brunch|To Share,Gramercy|Midtown,2,40.7388534,-73.9836737,
AweSum Dim Sum,Dim Sum|Chinese,Brunch|To Share,Gramercy|Midtown,2,40.7551117,-73.9911301,
Wayla,Thai,Lunch/Dinner,LES,2,40.7182852,-73.9926038,
Somtum Der,Thai,Lunch/Dinner,East Village,2,40.7252385,-73.984342,
Ruby's Cafe,Australian,Lunch/Dinner|Brunch,Nolita|East Village|Kips Bay,2,40.7223109,-73.9963226,
San Marzano,Italian,Lunch/Dinner,East Village,1,40.7279967,-73.9884379,
Clinton St Baking Co.,American,Brunch,LES,2,40.721264,-73.9838497,
Bar Primi,Italian,Lunch/Dinner|Date Night,East Village,2,40.7256677,-73.9917285,
Shuka,Mediterranean,Lunch/Dinner|Date Night,South Village,2,40.7270639,-74.0027877,
Take 31,Korean,Lunch/Dinner,Koreatown,2,40.7462777,-73.9848246,
Agave,Mexican,Lunch/Dinner|Date Night,Greenwich Village,2,40.7347326,-74.0023994,
Pardon My French,French,Lunch/Dinner|Date Night,East Village,3,40.7247571,-73.9811947,
Berimbau Brazilian Kitchen,South American,Lunch/Dinner|Drinks,South Village,2,40.7301198,-74.0036057,
Chama Mama,Middle Eastern,Lunch/Dinner|Brunch,Chelsea,2,40.7384413,-73.9988997,
Russ & Daughters Cafe,Bagels|Jewish,Brunch,LES,2,40.7196181,-73.9895779,
Russ & Daughters,Bagels|Jewish,Quick Bites,LES,2,40.7225076,-73.9889424,
19 Cleveland,Mediterranean,Brunch,Nolita,2,40.7215964,-73.9970748,
Banter,Australian,Brunch,South Village,2,40.7279278,-74.0009847,
The Wild Son,American,Brunch|Drinks,East Village,2,40.7274064,-73.9851423,
NOMO SOHO,American,Brunch,Soho,3,40.7198142,-74.0000734,
Baar Baar,Indian,Lunch/Dinner,East Village,3,40.7244269,-73.9915532,
Joe's Shanghai,Chinese,Lunch/Dinner,Chinatown,1,40.7156587,-73.9966735,
Prince St. Pizza,Pizza,Quick Bites,Nolita,1,40.723084,-73.994528,
Tompkins Square Bagels,Bagels,Quick Bites,East Village,1,40.7306771,-73.9858174,
The Butcher's Daughter,American,Brunch,Nolita|Greenwich Village|Williamsburg,2,40.7207146,-73.9948374,
Joe's Pizza,Pizza,Quick Bites,South Village|East Village|Midtown,1,40.7305803,-74.0020956,
Egg Shop,American,Brunch,Nolita|Williamsburg,2,40.7204333,-73.9951817,
The Rice Noodle,Chinese,Lunch/Dinner|Noodles,South Village,1,40.7292194,-74.001466,
Jack's Wife Freda,Mediterranean,Brunch,Greenwich Village|Soho,3,40.7221234,-73.9975099,
Jacob's Pickles,American|Southern,Brunch|Lunch/Dinner,Upper West Side,2,40.786648,-73.9755259,
Mimi Cheng's Dumplings,Chinese,Quick Bites,Nolita|East Village,1,40.7307684,-73.9863557,
Mimi Cheng's Dumplings,Chinese,Quick Bites,Nolita|East Village,1,40.7205237,-73.9969249,
Pinto Garden,Thai,Brunch|Lunch/Dinner|Date Night,Greenwich Village,2,40.7348667,-73.9994819,
